Codigo,Acopio,Productosxbulto
TIE00124,TIE,1
ALM48003,PCL,1
HIP50035,LIM038,1
FRE14056,PCL,12
FRE14057,PCL,12
TIE00129,TIE,1
TIE00132,TIE,1
FYV10065,FYV,1
ALM25085,ALM133,30
ALM25086,ALM133,1
ALM25087,ALM133,1
TIE00141,TIE,1
TIE00142,TIE,1
ALM48005,ALM057,1
FRE10043,FRE035,1
ALM06017,ALM068,1
FYV10066,FYV,1
HIP01007,LIM057,1
CAN01010,FRE,1
ALM25088,FRA,1
FRE06025,FRE022,1
ALM36047,PCL,6
HIP50036,LIM024,1
ALM49048,ALM144,1
ALM49047,ALM144,1
FRE10047,FRE003,1
FRE10048,FRE003,1
ALM25089,ALM133,1
HIP50037,LIM021,1
LIM11003,PCL,12
FRE06013,FRZ001,30
FRE06014,FRE003,1
FRE06015,FRZ010,1
ALM12012,ALM105,1
ALM36049,PCL,6
FRE06018,FRZ025,1
FRE06029,FRE,1
FRE10035,FRZ025,1
FRE10044,FRZ004,1
ALM60015,PCL,6
ALM60016,PCL,6
ALM60017,PCL,6
ALM60018,PCL,6
FRE10051,FRE003,1
FRE10052,FRE003,1
FRE10053,FRE003,1
ALM25071,FRA098,1
ALM25072,FRA097,1
ALM49050,ALM076,1
ALM02015,ALM040,12
FRE04029,FRZ004,1
CAN02025,FRZ026,1
ALM25073,ALM098,10
ALM25090,FRA,1
NAV0003,PCL,1
NAV0004,PCL,1
ALM14030,ALM099,1
FRE10055,FRE010,1
FRE10054,FRZ010,1
FRE10056,FRZ010,1
FRE10057,FRZ010,1
FRE04031,FRZ004,1
ALM25107,ALM044,1
FRE10038,FRZ010,1
ALM25074,ALM058,1
NAV0005,PCL,1
LIM16004,LIM024,1
ALM36050,PCL,6
ALM36048,PCL,6
ALM36051,FRA100,1
HIP50038,LIM021,1
FRE14058,FRE037,1
FRE14059,FRE048,1
FRE14060,FRE045,1
ALM20029,ALM072,12
LIM16005,LIM012,1
LIM16006,LIM052,1
LIM16007,LIM021,1
LIM16008,LIM021,1
FRE04039,FRE031,1
CAN01011,FRE,1
FRE06030,FRE037,1
LIM09003,LIM018,
LIM09004,LIM019,
FRE10058,FRE002,
FRE10059,FRE003,
CAN02030,FRE036,
CAN02031,FRE036,
IMP1000,PCL,
IMP1002,PCL,
IMP1003,PCL,
IMP1004,PCL,
IMP1005,PCL,
IMP1006,PCL,
IMP1008,PCL,
IMP1010,PCL,
IMP1011,PCL,
IMP1013,PCL,
IMP1014,PCL,
IMP1015,PCL,
IMP1016,PCL,
IMP1020,PCL,
IMP1022,PCL,
IMP1024,PCL,
IMP1025,PCL,
IMP1026,PCL,
IMP1027,PCL,
IMP1028,PCL,
IMP1029,PCL,
IMP1030,PCL,
IMP1032,PCL,
IMP1033,PCL,
IMP1034,PCL,
IMP1035,PCL,
IMP1037,PCL,
IMP1038,PCL,
ALM25092,FRA081,
ALM25093,FRA081,
ALM39014,PCL,
ALM39015,PCL,
ALM25076,ALM106,
ALM25075,ALM106,
ALM36052,FRA078,
ALM37009,ALM202,
LIM11005,LIM043,
IMP1007,PCL,
IMP1017,PCL,
LIM09005,LIM002,
IMP1039,PCL,
IMP1040,PCL,
IMP1041,PCL,
IMP1042,PCL,
FRE10060,FRZ004,
ALM25083,ALM115,
ALM25095,FRA,
ALM25043,FRA021,
FYV10068,FYV,
ALM07002,ALM105,
